Authors,Title,Publication_year,Publication,Country,Latitude,Longitude,Site_name,n_sites,Sampling_period,Sampling_frequency,Elevation_masl,MATemp_C,MAPrecip_mm,MAEvap_mm,Climate_zone,Mean_width_m,Mean_water_depth_m,Mean_velocity_m_s-1,Mean_discharge_m3_s-1,Instream vegetation?,Land_use,Soil_type,Nutrient_status,Hydrological_regime,GHG_sampling_method,g_CO2_m-2_yr-1,CH4_diffusive_g_CH4_m-2_yr-1,CH4_ebullitive_g_CH4_m-2_yr-1,g_N2O_m-2_yr-1,Flux_conversion_notes,DO_mg_L-1,pH,EC_us_cm-1,DOC_mg_L-1,TP_mg_L-1,TN_mg_L-1,Nitrate_mg_L,Chl-a_mg_L-1,Secchi_depth_m,Notes
"Vermaat, JE; Hellmann, F; Dias, ATC; Hoorens, B; van Logtestijn, RSP; Aerts, R",Greenhouse Gas Fluxes from Dutch Peatland Water Bodies: Importance of the Surrounding Landscape,2011,WETLANDS,Netherlands,52.2132132,4.8080916,Drainage ditches,5,May 2008 to April 2009,Once,-0.6,10.7,844,NA,Temperate,7.23,1.8,NA,NA,Yes,Natural,Organic (peat),Mesotrophic,Perennial,Chamber,1070.53,30.56,30.56,NA,Converted from mg or CO2 and CH4 m-2 h-1 * 1e-3 * 24h/d * 365 d/y. Ebullition responsible for 50% of total fluxes based on subset of measurements (estimated based on this),NA,NA,NA,NA,NA,NA,NA,NA,NA,Values an average of 5 sites. Trophic status confirmed from Peacock et al 2021. Climate data for Amsterdam from climate-data.org Widths from Google Earth. Slight difference between us and Evans (as they assumed 265 days and we did 365)
"Vermaat, JE; Hellmann, F; Dias, ATC; Hoorens, B; van Logtestijn, RSP; Aerts, R",Greenhouse Gas Fluxes from Dutch Peatland Water Bodies: Importance of the Surrounding Landscape,2011,WETLANDS,Netherlands,52.22986025,4.80588525,Drainage ditches,7,May 2008 to April 2009,Once,-1.3,10.7,844,NA,Temperate,3.35,0.5,NA,NA,Yes,Agriculture,Organic (peat),Eutrophic,Perennial,Chamber,607.14,75.19,75.19,NA,Converted from mg or CO2 and CH4 m-2 h-1 * 1e-3 * 24h/d * 365 d/y. Ebullition responsible for 50% of total fluxes based on subset of measurements (estimated based on this),NA,NA,NA,NA,NA,NA,NA,NA,NA,Values an average of 7 sites. Trophic status confirmed from Peacock et al 2021. Climate data for Amsterdam from climate-data.org Widths from Google Earth. Slight difference between us and evans (as they assumed 265 days and we did 365)
"Yu, Z; Wang, D; Li, Y; Deng, H; Hu, B; Ye, M; Zhou, X; Da, L; Chen, Z; Xu, S","Carbon dioxide and methane dynamics in a human?dominated lowland coastal river network (Shanghai, China).",2017,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,China,31.638889,121.544444,Rural ditches,11,February 2010 to October 2011,Bimonthly,3.5,15.5,1466,NA,Subtropical monsoon,39.45,NA,"sluggish, bidirectional",NA,NA,Agriculture,Mineral ,Eutrophic,Perennial (assumed),Concentration,10544.54,5.57,NA,NA,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from C to CO2) * 365 days. Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion from CH4-C to CH4) * 365 days  ,6.57,7.98,NA,NA,NA,NA,7.24,NA,NA,"Teresa: emailed to ask for coordinates to check the other sites, they did not have the coordinates. Mike: Correspondance with the authors when writing my ditch CH4 paper: ""The rivers in the rural area coule be defined as the agricultural canals"". CH4 value checked with Peacock et al 2021. DO estimated from MAT and elevation. Coordinates an approximate centre point of all measures."
"Yu, Z; Wang, D; Li, Y; Deng, H; Hu, B; Ye, M; Zhou, X; Da, L; Chen, Z; Xu, S","Carbon dioxide and methane dynamics in a human?dominated lowland coastal river network (Shanghai, China).",2017,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,China,30.994134,121.721796,Suburban canals,21,February 2010 to October 2011,Bimonthly,5,15.5,1466,NA,Subtropical monsoon,58.29,NA,"sluggish, bidirectional",NA,NA,Urban,Mineral ,Eutrophic,Perennial (assumed),Concentration,9041.65,5.97,NA,NA,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from C to CO2) * 365 days. Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion from CH4-C to CH4) * 365 days  ,4.7,7.6,NA,NA,NA,NA,18,NA,NA," ""The suburban rivers were mostly straight artificial canals for agricultural and transportation uses"". CH4 value checked with Peacock et al 2021. DO estimated from MAT and elevation. Coordinates an approximate centre point of all measures."
"Gatland, JR; Santos, IR; Maher, DT; Duncan, TM; Erler, DV",Carbon dioxide and methane emissions from an artificially drained coastal wetland during a flood: Implications for wetland global warming potential.,2014,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Australia,-29.112194,153.31775,Drain,3,"Flooded (February 22 - March 21, 2013) and post-flooding (March 27 to Mary 27, 2013",Once each period,1.33,19.2,1499,NA,Subtropical,8.15,NA,NA,NA,NA,Agriculture,Organic (wetland),Mesotrophic,Intermittently dry (assumed-discuss exposed conditions),Concentration,6420.11,7.75,NA,NA,Converted from g of CO2 * 44.01/12.01 (conversion from CO2-C to CO2) * 365 d/y . Converted from mg CH4 m-2 d-1 * 1e-3 for mg to g * 16.04/12.01 (conversion from CH4-C to CH4 * 365 d/yr,3.58,2.5,928,14.38,NA,NA,NA,NA,NA,"Mike: Includes drain (ditch) measurements. Used post-flood measurements. CH4 values confirmed with Peacock et al 2021, considered mesotrophic. Coordinates/elevation/widths are the mean of 3 points. Converted DO from % to ug/L using https://www.waterontheweb.org/under/waterquality/dosatcalc.html DOC measurement in uM converted to mg/L *12.01g * 1e-3 (micromol to mmol)"
"Kent, MS",Greenhouse Gas Emissions from Channels Draining Intact and Degraded Tropical Peat Swamp Forest,2018,OPEN UNIVERSITY,Indonesia,-2.31067,113.8979,Drainage channels (intact peatland),3,April 2015 to October 2016,"Twice per year (dry season, wet season)",11,26.7,2700,NA,Tropical monsoon,1.75,0.32,0.13,NA,Yes,Forest,Organic (peat),NA,Intermittently dry,Chamber,5298.24,1.73,NA,NA,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from CO2-C to CO2) multiplied by the number of wet season days (273) or dry days (93 days). Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion from CH4-C to CH4) multiplied by dry/wet season days as above and summed for an annual value,1.96,NA,96.7,56.69,NA,NA,NA,NA,NA,"Average of 3 sites (coordinates, elevation, etc.)"
"Kent, MS",Greenhouse Gas Emissions from Channels Draining Intact and Degraded Tropical Peat Swamp Forest,2018,OPEN UNIVERSITY,Indonesia,-2.3105,114.0598,Drainage channels (degraded peatland),4,April 2015 to October 2016,"Twice per year (dry season, wet season)",8,26.7,2700,NA,Tropical monsoon,12.25,0.95,0.12,NA,No-negligible,Drained peatland,Organic (peat),Eutrophic,Intermittently dry,Chamber,2855.39,8.53,NA,NA,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from CO2-C to CO2) multiplied by the number of wet season days (273) or dry days (93 days). Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion from CH4-C to CH4) multiplied by dry/wet season days as above and summed for an annual value,4.01,NA,63.3,35.2,NA,NA,NA,NA,NA,"Average of 4 sites (coordinates, elevation, etc.)"
"Webb, JR; Santos, IR; Maher, DT; Macdonald, B; Robson, B; Isaac, P; McHugh, I",Terrestrial versus versus aquatic carbon fluxes in a subtropical agricultural floodplain over an annual cycle,2018,AGRICULTURAL AND FOREST METEOROLOGY,Australia,-28.283803,153.504172,Agricultural drain,1,November 2014 to October 2015,Biweekly (and intensively during 6 day storm time series in January),1,20.3,1602,NA,Subtropical,1.58,NA,NA,NA,NA,Agriculture,Mineral,Eutrophic,Perennial (assumed),Concentration,1865.2,2.28,NA,NA,Converted from g C m-2 y-1 * conversion factor for CO2 (44.01/12.01) or CH4 (16.04/12.01),NA,NA,NA,7.97,NA,NA,NA,NA,NA,"Widths estimated from Google Earth. DOC 663.82 uM converted to mg/L *12.01g * 1e-3 (micromol to mmol). CH4 values confirmed with Peacock et al 2021, soil considered mineral"
"Wu, WX; Niu, XQ; Yan, ZF; Li, SY; Comer-Warner, SA; Tian, HQ; Li, SL; Zou, JW; Yu, GR; Liu, CQ",Agricultural ditches are hotspots of greenhouse gas emissions controlled by nutrient input,2023,WATER RESEARCH,China,39.6485,117.5915,Agricultural ditches,4,2021,Monthly,3,11.1,611,NA,Temperate continental monsoon,9.88,3.31,low / no flow,NA,NA,Agriculture,Mineral,Hypertrophic,Intermittently dry,Concentration,1786.45,57.79,NA,0.62,Converted from the annual average Gg GHG yr-1 * area  of each ditch (m2) * 1e9 (Gg to g),7.71,7.96,NA,7.22,NA,NA,6.95,NA,NA,"Range of ditch width from 1 to 25m, range of ditch depth from 0.3 to 5m"
"Xiao, QT; Hu, ZH; Fu, CS; Bian, H; Lee, XH; Chen, ST; Shang, DY",Surface nitrous oxide concentrations and fluxes from water bodies of the agricultural watershed in Eastern China,2019,ENVIRONMENTAL POLLUTION,China,31.9917,119.2167,Agricultural ditches,7,October 2015 to September 2017,Monthly,50,15,1100,NA,Humid subtropical ,NA,NA,low / no flow,NA,NA,Agriculture,Mineral,Hypertrophic,Intermittently dry,Concentration,NA,NA,NA,0.73,Converted from umol m-2 d-1 * 1e-6 (umol to mol) * 44.01g/mol * 365 d/y,7.9,NA,NA,NA,NA,NA,8.19,NA,NA,Unable to clearly identify ditch locations from map provided (no widths)
"Xiao, QT; Hu, ZH; Hu, C; Islam, ARMT; Bian, H; Chen, ST; Liu, C; Lee, XH",A highly agricultural river network in Jurong Reservoir watershed as significant CO2 and CH4 sources,2021,SCIENCE OF THE TOTAL ENVIRONMENT,China,31.9917,119.2167,Agricultural ditches,7,October 2015 to September 2017,Monthly,50,15,1100,NA,Humid subtropical ,NA,NA,low / no flow,NA,NA,Agriculture,Mineral,Hypertrophic,Intermittently dry,Concentration,1349.35,3.51,NA,NA,Converted from mmolCO2 m-2 d-1 * 1e-3 (mmol to mol) * 44.01g/mol * 365 d/y. Converted from mmol CH4 m-2 d-1 * 1e-3 (mmol to mol) * 16.04g/mol * 365 d/y ,7.9,NA,NA,NA,NA,NA,8.19,NA,NA,Same sites as Xiao et al 2019
"Zhang, YW; Wang, XF; Gong, XJ; Wu, SN; Yuan, XZ; Liu, TT; Hou, CL",Greenhouse gases concentrations and emissions in different inland water bodies in Chengdu Plain,2021,DESALINATION AND WATER TREATMENT,China,30.39743067,103.7687007,Irrigation canals,3,December 2017,Once,461,16.4,978,NA,Subtropical monsoon,5.5,NA,1,NA,NA,Agriculture,Mineral,Hypertrophic,Perennial (assumed),Concentration,2764.55,8.78,NA,5.3,Converted from mmol CO2/CH4/N2O m-2 d-1 * 1e-3 (mmol to mol) * 44.01g/mol for CO2 and N2O OR 16.04g/mol for CH4 * 365d/y. ,7.25,7.37,663,12,0.91,7.88,6.52,0.022,NA,Average from 3 canals
"Paranaíba, JR; Struik, Q; Kosten, S",Unpublished dataset of agricultural ditches in the Netherlands,2023,Unpublished,Netherlands,52.00824,5.153485,Agricultural ditches (dredged and undredged),5,2023,Monthly,2,11.6,1132.2,642.3,Temperate,2.42,0.4,NA,NA,NA,Agriculture (grassland),Clay on top of peat,Hypertrophic,Perennial,Chamber,797.8,2.68,44.67,0.23,Used the average of the reported seasonal averages,9.86,7.43,659.76,NA,NA,NA,NA,NA,NA,"Working (unpublished) data - Monthly monitoring of ditch GHG emissions. Total of 5 agricultural ditches (grass cropping). Sites were selected in the mid-section of each ditch. Part of the ditches had recently been dredged and part have not. Recently dredged = dredged max 1 ago from the sampling time. Not recently dredged = dredged max 2 years ago from the sampling time. Dredging corresponded to the partial removal of sediment (~30-50cm of thickness) along the ditch length (remaining ~10-15 cm of sediment left behind). In ""Site name"" ditches are discriminated between Recently dredged (RD) and Not recently dredged (NRD) + their IDs."
"Nykänen, H; Silvola, J; Alm, J; Martikainen, PJ","Fluxes of greenhouse gases CH4, CO2 and N2O on some peat mining areas in Finland",1996,"NORTHERN PEATLANDS IN GLOBAL CLIMATIC CHANGE: Proceedings of the International Workshop Held in Hyytiälä, Finland",Finland,62.7833,24.3,Ditches (peat mining areas),2,1991 to 1994,At least weekly in the growing season of 1991 and 1992. Three times in the summer of 1993,150,4.5,704,NA,Boreal,NA,NA,NA,NA,NA,Wetland,Organic (peat),Oligotrophic,Intermittently dry,Chamber,516.69,17.7,NA,0.02,For CO2 used the mean of the annual estimate range (62-220 g CO2-C m-2 yr-1 converted to CO2). For CH4 used annual estimate of 13.3 g CH4-C m-2 yr-1 *16.04/12.01. Note they used 150 days to calculate annual emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,The data reporting is not very clear in this article. Climate data for Jyväskylä from climate-data.org Mike considered this study site oligotrophic in his CH4 review. CH4 values confirmed by Evans Wetland Supplement and Peacock et al 2021
"Audet, J; Wallin, MB; Kyllmar, K; Andersson, S; Bishop, K,",Nitrous oxide emissions from streams in a Swedish agricultural catchment,2017,"AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",Sweden,59.878611,16.944167,Streams (really ditches),4,December 2014 to August 2015,9 sampling occasions,34,5.5,623,NA,Temperate,2,NA,NA,NA,NA,Agriculture,Mineral,Hypertrophic,Intermittently dry,Concentration,NA,NA,NA,0.39,Converted from ug N2O-N m-2 h-1 * conversion factor from N2O-N to N2O 44.01/28.01 * 1e-6 (ug to g) * 24 h/d * 365 d/y,9.43,NA,NA,10.94,NA,NA,8.21,NA,NA,"Mike: Sites 3, 7, 8, 9 in table 2 are ditches. Estimated TN from nitrate and ammonium (3.1 mg/L = hypertrophic). Coordinates are approximate (40km west of Uppsala) as actual coordinates not given here or in other related papers. "
"Macdonald, BCT; Nadelko, A; Chang, Y; Glover, M; Warneke, S",Contribution of the cotton irrigation network to farm nitrous oxide emissions,2016,SOIL RESEARCH,Australia,-30.316667,149.766667,Irrigation network ditches,4,October-December 2013,One week per month,207,19.1,599,NA,Temperate,4,NA,NA,NA,NA,Agriculture,Mineral (clay),Hypertrophic,Intermittently dry,Concentration,NA,NA,NA,0.32,Converted from kg N2O-N ha over 90 days / 10 (kg/ha to g/m2) / 90 days * conversion factor from N2O-N to N2O (44.01/28.01) * 365 d/yr,NA,8.43,634.5,NA,NA,13.81,7.86,NA,NA,"On average the network contains water for 100 days/year. Weather data for Narrabri from climate-data.org Widths from Google Earth (but seems like a lot of channels were dry, so maybe it's an over-estimation). "
"Webb, JR; Quayle, W. C; Ballester, C; Wells, NS",Semi-arid irrigation farm dams are a small source of greenhouse gas emissions,2023,BIOGEOCHEMISTRY,Australia,-34.4,145.91,Irrigation channels,2,September 2021 to April 2022,Twice,120,17.9,404,NA,Semi-arid,55.42,NA,NA,NA,Yes-primary production,Agriculture,Mineral,Eutrophic,Intermittently dry,Concentration,-61.04,0.812,NA,-0.021,Converted from mmol CO2 and CH4  m-1 d-1 * 1e-3 (mmol to mol) * 44.01 g for CO2 or 16.04 for CH4 * 365 days. Converted from umol N2O m-2 d-1 * 1e-6 (umol to mol) * 44.01g * 365d ,11.87,8.97,230.17,NA,NA,NA,2.12,NA,NA,Mean annual temperature from Griffith at climate-data.org Converted DO from % to ug/L with reported water temperature and elevations from Google Earth using https://www.waterontheweb.org/under/waterquality/dosatcalc.html 
"Webb, JR; Quayle, W. C; Ballester, C; Wells, NS",Semi-arid irrigation farm dams are a small source of greenhouse gas emissions,2023,BIOGEOCHEMISTRY,Australia,-34.3309,145.9828,Irrigation channels,1,September 2021 to April 2022,Twice,122,17.9,404,NA,Semi-arid,14.91,NA,NA,NA,Yes-primary production,Agriculture,Mineral,Mesotrophic,Intermittently dry,Concentration,-102.38,2.65,NA,-0.0269,Converted from mmol CO2 and CH4  m-1 d-1 * 1e-3 (mmol to mol) * 44.01 g for CO2 or 16.04 for CH4 * 365 days. Converted from umol N2O m-2 d-1 * 1e-6 (umol to mol) * 44.01g * 365d ,11.26,8.97,136.75,NA,NA,NA,1.25,NA,NA,Mean annual temperature from Griffith at climate-data.org Converted DO from % to ug/L with reported water temperature and elevations from Google Earth using https://www.waterontheweb.org/under/waterquality/dosatcalc.html 
"Webb, JR; Quayle, W. C; Ballester, C; Wells, NS",Semi-arid irrigation farm dams are a small source of greenhouse gas emissions,2023,BIOGEOCHEMISTRY,Australia,-34.4087,145.8775,Irrigation channels,1,September 2021 to April 2022,Twice,120,17.9,404,NA,Semi-arid,13.06,NA,NA,NA,Yes-primary production,Agriculture,Mineral,Oligotrophic,Intermittently dry,Concentration,1261.78,16.09,NA,-0.0432,Converted from mmol CO2 and CH4  m-1 d-1 * 1e-3 (mmol to mol) * 44.01 g for CO2 or 16.04 for CH4 * 365 days. Converted from umol N2O m-2 d-1 * 1e-6 (umol to mol) * 44.01g * 365d ,3.6,8.01,381.9,NA,NA,NA,0.17,NA,NA,Mean annual temperature from Griffith at climate-data.org Converted DO from % to ug/L with reported water temperature and elevations from Google Earth using https://www.waterontheweb.org/under/waterquality/dosatcalc.html 
"van der Knaap, J;  Weideveld, S; Aben, R; Fritza, C; Harpenslager, SF;  Kosten, S",Unpublished dataset of agricultural ditches in the Netherlands,2023,Unpublished,Netherlands,52.0961496,4.8199788,Agricultural ditches,2,June 2022 to May 2023,Monthly,-1.92,11.4,849.6,642.3,Temperate,3.56,0.477361111,NA,NA,NA,Agriculture (grassland),Organic (peat),Hypertrophic,Perennial,Chamber (transparent),1736.85,54.7,63.45,0.2,"Mean daily flux was originally in mg/m2/day, so converted (x / 1000) *365. These values come from 4 replicates. These are mean values, not weighted mean. Blanc spaces data was lost.",5.83,7.23,587.53,NA,NA,NA,NA,NA,NA,"Monthly monitoring of ditch GHG emissions. Total of 5 agricultural ditches in Dutch peatlands. Sites were selected on ditch characteristics - reference ditch (mid section), dead-end of a ditch and a ditch where active drainage pipe outlets were present. In location Zegveld 3 ditches were sampled (reference, dead-end and drainage pipe) in location Langeweide only 2 as no reference ditch was present. Ditches were sampled in semi-replicate as 4 points in the ditch were sampled 3 meters apart but taken as replicates (average presented in dataset. Site name is hence Zeg_ref, Zeg_dead, Zeg_drain, Lw_dead, Lw_drain."
"Webb, JR",Unpublished dataset of on-farm irrigation channels in Australia,2021,Unpublished,Australia,-34.420634,146.131402,"1B, 4B, 5B, 7A, 8B",5,May 2021,Once,126.6,17.9,400,NA,"Semi-arid, mediterranean",23.034,NA,NA,NA,NA,Agriculture,Mineral,Eutrophic,Intermittently dry,Chamber,-64.75,1.62,NA,0.0133,Annual flux reported by author,NA,8.72,303.4,8.2754,0.05,0.634,NA,NA,NA,I have floating chamber measurements from four on-farm irrigation channels that can contribute to the dataset. Was part of a pilot study so don't have any plans on publishing.
"Hunter, ML; Frei, RJ; Strachan, IB; Strack, M","Environmental and Management  Drivers of Carbon Dioxide and Methane Emissions From Actively-Extracted  Peatlands in Alberta, Canada",2024,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Canada,53.557,-114.736,"Ditch (""Old"" aka site 12)",1,July to August 2019,Once to twice a week,728,3.1,504,NA,Continental,1,0.0992,NA,NA,NA,Peat harvest,Organic (peat),NA,Perennial,Chamber,1175.5,233.49,1238,NA,Converted from g or mg C m-2 y-1 * conversion factor for CO2 (44.01/12.01) or CH4 (16.04/12.01) * 1e-3 (for mg of CH4) * 156 day growing season historically in Alberta (Shen et al 2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate data for Edmonton at climate-data.org. Growing season is 156 days historically in Alberta (Shen et al 2005)
"Hunter, ML; Frei, RJ; Strachan, IB; Strack, M","Environmental and Management  Drivers of Carbon Dioxide and Methane Emissions From Actively-Extracted  Peatlands in Alberta, Canada",2024,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Canada,53.557,-114.736,"Ditches (""Young"" and ""Intermediate"", aka Site L and 16)",2,"July to August 2019, August 2021, May to August 2022",Once to twice a week,728,3.1,504,NA,Continental,1,0.16,NA,NA,NA,Peat harvest,Organic (peat),NA,Intermittently dry,Chamber,1548.52,196.78,849.34,NA,Converted from g or mg C m-2 y-1 * conversion factor for CO2 (44.01/12.01) or CH4 (16.04/12.01) * 1e-3 (for mg of CH4) * 156 day growing season historically in Alberta (Shen et al 2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,Climate data for Edmonton at climate-data.org. Growing season is 156 days historically in Alberta (Shen et al 2005)
"Wilson, D; Mackin, F; Tuovinen, JP; Moser, G; Farrell, C; Renou?Wilson, F",Carbon and climate implications of rewetting a raised bog in Ireland,2023,GLOBAL CHANGE BIOLOGY,Republic of Ireland,53.346999,-8.51538,Rewetted ditch,1,April 2013 to March 2018,Fortnightly (CO2) or monthly (CH4),98,9.9,1193,NA,Temperate,1,0.014,NA,NA,NA,Peat harvest,Organic (peat),Oligotrophic,Intermittently dry,Chamber,380.43,12.71,NA,NA,Converted from mg CO2/CH4 m-2 hr-1 * 1e-3 (mg to g) * 24 h/d * 365 d/y,NA,4.4,102,NA,NA,NA,NA,NA,NA,"GHG data from the authors. Note this is a rewetting project, so they measured a former ditch (although the WT was occasionally above the surface)"
"Mwanake, R; Gettel, G; Wangari, E; Glaser, C; Houska, T; Breuer, L; Butterbach-bahl, K; Kiese, R",Anthropogenic activities significantly increase annual greenhouse gas (GHG) fluxes from temperate headwater streams in Germany,2023,BIOGEOSCIENCES,Germany,47.58706667,11.16456667,Drainage ditches,3,June 2020 to June 2021,Every 2 to 3 weeks,635,3.8,1693,NA,Temperate,0.4,NA,0.05,0.011,Yes-photosynthetic uptake,Natural forest (former drained wetlands),Mineral (assumed),Eutrophic,Perennial (assumed),Concentration,18324.06,747.25,NA,0.69,Converted from g CO2-C m-2 d-1 * 44.01/12.01 (conversion from CO2-C to CO2) * 365. Converted from mg CH4-C m-2 d-1 * 1e-3 (mg to g) * 16.04/12.01 (conversion from CH4-C to CH4) * 365 days. Converted from mg N2O-N m-2 d-1 * 1e-3 (mg to g) * 44.01/28.01 (conversion from N2O-N to N2O) * 365 days,4.2,7.3,NA,9.5,NA,0.9,0.44,NA,NA,"CO2 flux is very high--acknowledged by authors as well. The reporting of CO2 flux is inconsistent, 3 different values (text, table, figure), so I used the lowest estimate. Widths from Google Earth"
"Mwanake, RM, Imhof, H, Kiese, R","Divergent drivers of the spatial variabilities in CO2, CH4, N2O, and N2 concentrations along the Rhine river and the Mittelland canal in Germany",2024,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Germany,52.2289,8.737185714,Mittelland Canal,7,June 12 to July 6 2023,Once,53,10.3,790,NA,Temperate,68,NA,NA,NA,Yes-primary production,Agriculture,Mineral,Hypertrophic,Perennial,Concentration,505.21,7.61,NA,0.29,Converted from Figure 3. mg CO2-C m-2 d-1 * 1e-3 (mg to g) * 44.01/12.01 (conversion factor from CO2-C to CO2) *365d/y. mg CH4-C m-2 d-1 * 1e-3 (mg to g) *  16.04/12.01 (conversion factor from CH4-C to CH4) * 365d/y. mg N2O-N m-2 d-1 * 1e-3 (mg to g) * 44.01/28.01 (conversion factor from N2O-N to N2O) * 365 d/y,NA,NA,NA,3.87,NA,NA,32.97,0.23,NA,Widths from Google Earth. Climate data for Hanover from climate-data.org
"Minkkinen, K; Ojanen, P; Koskinen, M; Penttilä, T","Nitrous oxide emissions of undrained, forestry-drained, and rewetted boreal peatlands",2020,FOREST ECOLOGY AND MANAGEMENT,Finland,63.032479,24.686419,Ditches,39,Various years,On average 10-15 measurements per year (minimum 6),136,4.1,746,NA,Boreal,1.9,NA,NA,NA,NA,Wetland,Organic (peat),Oligotrophic,Intermittently dry,Chamber,NA,NA,NA,0.0922,Annual emissions reported by authors,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mix of drained (+fertilized) and rewetted peatland ditches. Data by trophic status from author. Elevation and widths are means from Google Earth. Climate data for Kuopio from climate-data.org
"Minkkinen, K; Ojanen, P; Koskinen, M; Penttilä, T","Nitrous oxide emissions of undrained, forestry-drained, and rewetted boreal peatlands",2020,FOREST ECOLOGY AND MANAGEMENT,Finland,62.062306,24.73616,Ditches,8,Various years,On average 10-15 measurements per year (minimum 6),143,5.1,691,NA,Boreal,0.47,NA,NA,NA,NA,Wetland,Organic (peat),Mesotrophic,Intermittently dry,Chamber,NA,NA,NA,0.0529,Annual emissions reported by authors,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mix of drained (+fertilized) and rewetted peatland ditches. Data by trophic status from author. Elevation and widths are means from Google Earth. Climate data for Tampere from climate-data.org
"Minkkinen, K; Ojanen, P; Koskinen, M; Penttilä, T","Nitrous oxide emissions of undrained, forestry-drained, and rewetted boreal peatlands",2020,FOREST ECOLOGY AND MANAGEMENT,Finland,65.740333,25.043917,Ditches,4,Various years,On average 10-15 measurements per year (minimum 6),43,3.4,629,NA,Boreal,1.11,NA,NA,NA,NA,Wetland,Organic (peat),Eutrophic,Intermittently dry,Chamber,NA,NA,NA,0.11,Annual emissions reported by authors,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mix of drained (+fertilized) and rewetted peatland ditches. Data by trophic status from author. Elevation and widths are means from Google Earth. Climate data for Oulu from climate-data.org
"Keskisaari, O",N2O emissions from restored peatlands in Southern and Central Finland,2023,UNIVERSITY OF HELSINKI,Finland,60.422488,24.649464,Restored peatland ditches,6,May to August 2022,For to six occasions,66,6.1,730,NA,Hemiboreal,NA,NA,NA,NA,NA,Wetland,Organic (peat),Eutrophic,Intermittently dry (assumed),Chamber,NA,NA,NA,0.14,Annual flux reported by author,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coordinates and elevation as approximation from provided map (southern sites). Climate data for Helsinki from climate-data.org. Authors note that ditches were dammed or filled, thus did not act as ditches (some were open water while others were overgrown with vegetation). Assumed intermittently dry as it was noted that some ditches had open water while others were vegetated."
"Keskisaari, O",N2O emissions from restored peatlands in Southern and Central Finland,2023,UNIVERSITY OF HELSINKI,Finland,61.552303,23.460881,Restored peatland ditches,12,May to August 2022,For to six occasions,108,5.6,710.5,NA,Boreal,NA,NA,NA,NA,NA,Wetland,Organic (peat),Mesotrophic,Intermittently dry (assumed),Chamber,NA,NA,NA,0.016,Annual flux reported by author,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coordinates and elevation from a point between the southern and central sites. Climate data an average from Helsinki and Tampere from climate.data.org. Authors note that ditches were dammed or filled, thus did not act as ditches (some were open water while others were overgrown with vegetation). Assumed intermittently dry as it was noted that some ditches had open water while others were vegetated."
"Keskisaari, O",N2O emissions from restored peatlands in Southern and Central Finland,2023,UNIVERSITY OF HELSINKI,Finland,61.921334,23.836476,Restored peatland ditches,2,May to August 2022,For to six occasions,149,5.1,691,NA,Boreal,NA,NA,NA,NA,NA,Wetland,Organic (peat),Oligotrophic,Intermittently dry (assumed),Chamber,NA,NA,NA,-0.033,Annual flux reported by author,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coordinates and elevation an approximation from the provided map (central sites). Climate data for Tampere from climate-data.org. Authors note that ditches were dammed or filled, thus did not act as ditches (some were open water while others were overgrown with vegetation).  Assumed intermittently dry as it was noted that some ditches had open water while others were vegetated.."
